row_id,playerID,year,position,age,avg_salary_year,free_agent_salary,W,L,G,GS,CG,SHO,SV,H,ER,HR,BB,SO,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,ERA,BAOpp,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR,won_cy_young,won_mvp,won_gold_glove,won_silver_slugger,all_star
guerrma02_2010,guerrma02,2010,P,32,3278746.825301205,3961499.0,16.0,17.0,229.0,0.0,0.0,0.0,3.0,198.0,89.0,29.0,75.0,148.0,12.0,10.0,7.0,0.0,934.0,43.0,98.0,6.0,5.0,13.0,3.5733333333333337,0.23366666666666666,671.0,21.0,33.0,1.0,1.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
harderi01_2010,harderi01,2010,P,29,3278746.825301205,1500000.0,24.0,16.0,71.0,69.0,0.0,0.0,0.0,309.0,155.0,52.0,190.0,427.0,7.0,14.0,18.0,0.0,1634.0,0.0,173.0,14.0,10.0,20.0,3.445,0.21325,1143.0,21.0,20.0,3.0,3.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
jenksbo01_2010,jenksbo01,2010,P,29,3278746.825301205,6000000.0,7.0,8.0,164.0,0.0,0.0,0.0,86.0,157.0,66.0,15.0,51.0,148.0,6.0,5.0,4.0,0.0,702.0,144.0,70.0,6.0,3.0,16.0,3.5933333333333337,0.24666666666666667,503.0,9.0,26.0,1.0,2.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
kurodhi01_2010,kurodhi01,2010,P,35,3278746.825301205,11765724.0,28.0,30.0,83.0,82.0,2.0,2.0,0.0,471.0,199.0,40.0,114.0,362.0,22.0,22.0,13.0,0.0,2071.0,0.0,231.0,23.0,13.0,31.0,3.626666666666667,0.24633333333333332,1491.0,34.0,75.0,6.0,2.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
leecl02_2010,leecl02,2010,P,32,3278746.825301205,20625000.0,48.0,25.0,93.0,93.0,17.0,5.0,0.0,654.0,221.0,45.0,95.0,536.0,4.0,14.0,11.0,1.0,2703.0,0.0,240.0,17.0,18.0,52.0,3.0780000000000003,0.25420000000000004,2002.0,37.0,57.0,7.0,5.0,0.0,0.0,0.0,0.0,,1,0,0,0,1
mccarbr01_2010,mccarbr01,2010,P,27,3278746.825301205,1000000.0,8.0,5.0,22.0,22.0,1.0,1.0,0.0,116.0,60.0,16.0,44.0,75.0,0.0,0.0,4.0,0.0,513.0,0.0,66.0,0.0,7.0,7.0,4.355,0.2495,358.0,8.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
moseldu01_2010,moseldu01,2010,P,29,3278746.825301205,900000.0,7.0,8.0,31.0,22.0,0.0,0.0,0.0,156.0,81.0,22.0,50.0,78.0,1.0,3.0,4.0,1.0,580.0,3.0,82.0,1.0,7.0,12.0,5.3500000000000005,0.308,391.0,13.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
ohmanwi01_2010,ohmanwi01,2010,P,33,3278746.825301205,2000000.0,5.0,3.0,172.0,0.0,0.0,0.0,2.0,103.0,47.0,11.0,53.0,103.0,10.0,5.0,2.0,0.0,488.0,33.0,53.0,5.0,4.0,7.0,3.955,0.24575,339.0,3.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
okajihi01_2010,okajihi01,2010,P,35,3278746.825301205,,13.0,6.0,188.0,0.0,0.0,0.0,1.0,164.0,64.0,20.0,64.0,146.0,9.0,4.0,3.0,0.0,729.0,29.0,65.0,7.0,5.0,7.0,3.5,0.256,507.0,10.0,18.0,1.0,1.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
padilvi01_2010,padilvi01,2010,P,33,3278746.825301205,2000000.0,32.0,19.0,71.0,70.0,2.0,2.0,0.0,420.0,206.0,56.0,143.0,308.0,8.0,17.0,30.0,6.0,1780.0,0.0,222.0,12.0,9.0,46.0,4.2325,0.25975,1240.0,23.0,51.0,7.0,4.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
pavanca01_2010,pavanca01,2010,P,34,3278746.825301205,8500000.0,35.0,25.0,72.0,72.0,8.0,3.0,0.0,503.0,227.0,55.0,86.0,279.0,3.0,9.0,16.0,1.0,1914.0,0.0,237.0,10.0,15.0,35.0,4.8825,0.28875,1364.0,30.0,55.0,0.0,5.0,0.0,0.0,0.0,0.0,,0,0,0,0,0
